tip	superfam
phachl1_4316	Galactica
elagra2_tyr4830	Galactica
rhimac1_11078	Galactica
exospi1_9399	Galactica
fonmon1_2411_2412	Galactica
cypeur1_114146	Galactica
elagra2_tyr4812	Galactica
gluame1_KAH0543790.1	Galactica
chasp.7_RMZ91819.1	Galactica
gomame1_CAF9912407.1	Galactica
gomame1_CAF9918205.1	Galactica
gluame1_KAH0547751.1	Galactica
gomame1_CAF9914209.1	Galactica
colnym1_1013311	Galactica
phachl1_5955	Galactica
aspaff1_tyr365	Galactica
aspter10_tyr2883	Galactica
aspamo1_tyr433	Galactica
aspnan1_KAF9890711.1	Galactica
aspust1_tyr3097	Galactica
aspcri1_6849	Galactica
aspcri5_tyr1036	Galactica
aspmel1_tyr1930	Galactica
aspscl5_tyr2626	Galactica
aspgla1_OJJ85450.1_OJJ85451.1	Galactica
penari1_5287	Galactica
penrub1_CAP95304.1_CAP95306.1	Galactica
penant1_11477	Galactica
aspara2_tyr467	Galactica
penthy1_187711	Galactica
penbra1_9248	Galactica
penfre1_tyr8819	Galactica
pencam1_3517	Galactica
penrub2_KAF3027235.1	Galactica
pensp.9_KAF4765341.1	Galactica
Galactica_Afla-Captain	Galactica
asppse8_286872	Galactica
asplep2_tyr1813	Galactica
aspche2_tyr868	Galactica
aspfum5_EAL87801.2	Galactica
Starship-1_Asoj-Captain	Galactica
asppse8_278758	Galactica
Starship-2_Pvar-Captain	Galactica
aspacu4_tyr350	Galactica
aspell2_tyr1081	Galactica
aspcla3_EAW09702.1	Galactica
aspoli1_tyr2253	Galactica
aspcar1_tyr828	Galactica
aspfum5_EAL87819.1_EAL87820.1_EAL87821.1	Galactica
aspthe1_tyr2953	Galactica
aspasp3_tyr578	Galactica
aspche2_tyr882	Galactica
aspqua1_tyr2559	Galactica
paevar1_289487	Galactica
aspasp6_tyr601	Galactica
aspsyd4_tyr2794	Galactica
aspver1_OJI99576.1	Galactica
aspasp6_tyr598	Galactica
aspsyd4_tyr2807	Galactica
aspscl4_tyr2611	Galactica
aspthe1_tyr2959	Galactica
paeniv1_tyr8569	Galactica
asphir2_tyr1515	Galactica
aspnan1_KAF9885275.1	Galactica
raseme1_KKA23990.1	Galactica
endpus1_8492	Galactica
monfru2_RAL66735.1	Moya
monlax1_tyr8314	Moya
sclbor1_tyr10062	Moya
sclcep1_KAF7877687.1	Moya
botcal1_tyr3614	Moya
botcal1_tyr3618	Moya
monfru2_RAL60102.1	Moya
botpor2_TGO90359.1	Moya
lepsp.1_707367	Moya
ascsar1_9624	Moya
venech1_RDL41173.1	Moya
psever1_9422	Moya
lacari1_tyr7740	Moya
acemac1_681948	Moya
cudaci1_KAF4629989.1	Moya
amyenc1_389645	Moya
hymalb1_CAG8976161.1_CAG8976162.1	Moya
rutsp.2_tyr10042	Moya
sclscl1_APA09337.1	Moya
helsp.4_KAE8441678.1	Moya
phisco1_737160_737161	Moya
phisub1_17707	Moya
lepsp.1_482229	Moya
lacari1_tyr7741	Moya
hyphym1_tyr7592	Moya
psever1_8338	Moya
orboli15_KAF3089738.1	Moya
orboli19_KAF3231896.1	Moya
orboli16_KAF3107618.1	Moya
orboli10_KAF3191570.1	Moya
choven1_1052954	Moya
trihyb1_905659	Moya
Starship-1_Foxy_Fol4287-Captain	Arwing
fussp.4_KAF9770092.1	Arwing
fusxyl9_tyr7051	Arwing
fusfus45_tyr5795	Arwing
fusfus39_tyr5763	Arwing
fusill1_tyr5996	Arwing
fusfus31_tyr5727	Arwing
fusdom1_tyr5472	Arwing
neodit1_1586	Arwing
fuspen1_tyr6438	Arwing
cyloli1_548470	Arwing
dacest1_612184	Arwing
fusbeo1_KAF4342966.1	Arwing
fusxyr1_tyr7062	Arwing
fuscon1_tyr5412	Arwing
fussp.6_tyr6673	Arwing
neodit1_181	Arwing
fusnem1_tyr6103	Arwing
fusnem1_tyr6106	Arwing
fusman2_tyr6057	Arwing
hirmin1_9210	Arwing
pocchl2_RZR69165.1	Arwing
geomor1_KAF4119892.1	Arwing
Starship-1_Tasp-Captain	Arwing
triasp2_43980	Arwing
isafum1_tyr7678	Arwing
leclec1_10286	Arwing
beabas2_KGQ02280.1	Arwing
pocchl2_RZR70293.1	Arwing
triatr4_tyr10505	Arwing
moelib1_tyr8263	Arwing
micbol1_140131	Arwing
mictri1_436685	Arwing
xylarb1_416827	Arwing
xylarb1_485319	Arwing
podans1_209680	Arwing
podcom1_tyr9195	Arwing
Starship-2_Pans-Captain	Arwing
chasp.2_354242	Arwing
verlon1_1636	Arwing
colfru1_KAE9565890.1	Arwing
colsub1_6891	Arwing
diabat1_KAG8162722.1	Arwing
diahel1_9225	Arwing
colsal1_941573	Arwing
coltri1_tyr4417	Arwing
colvin1_tyr4425	Arwing
coltof2_1585	Arwing
neodit1_6628	Arwing
hypsp.2_326193_642931	Arwing
mictri1_388981	Arwing
xylsp.19_30440	Arwing
truang1_417612	Arwing
pyrory4_ELQ69711.1	Arwing
pyrsp.2_TLD25447.1	Arwing
pyrgri1_TLD03770.1	Arwing
pyrgri1_TLD05862.1	Arwing
pyrory2_QBZ54310.1	Arwing
sorsp.1_KAH7633559.1	Arwing
sorsp.1_KAH7633844.1	Arwing
podcom1_tyr9196	Arwing
diacit1_KAG6368733.1	Arwing
valmal3_664	Arwing
crypar1_KAF3763129.1	Arwing
colplu1_KAF6806911.1	Arwing
colplu1_KAF6808160.1	Arwing
colplu1_KAF6821138.1	Arwing
colsid1_tyr4379	Arwing
colasi1_KAF0330480.1	Arwing
colsid1_tyr4377	Arwing
verdah3_tyr10695	Arwing
erebil1_510855	Arwing
annsty1_404214	Arwing
hyptru1_435293	Arwing
annsty1_427123	Arwing
monsp.6_tyr8358	Arwing
monsp.3_tyr8334	Arwing
tolpar1_tyr10469	Arwing
xylsp.4_304735	Arwing
xylsp.5_451751	Arwing
astsub1_465646	Arwing
astsub1_437548	Arwing
kredeu2_220161_512558	Arwing
nemser2_436945	Arwing
annsty1_339604_401957	Arwing
truang1_533773	Arwing
chaglo1_159177	Arwing
chasp.2_300927	Arwing
stalon1_KAG7293987.1	Arwing
helsp.4_KAE8441012.1	Arwing
lepsp.1_603043_720900_734108	Arwing
erebil1_455447	Arwing
lining1_125901_125887	Arwing
polfus1_16250	Arwing
lacwil1_tyr7764	Arwing
xylbam1_657765	Arwing
lopnuc1_601207	Arwing
zoprhi1_KAF2186083.1	Arwing
phlbre1_15608	Arwing
volvol2_KAF8645791.1	Arwing
treper1_499963_134336	Arwing
kredeu2_498028	Arwing
tulsp.13_KAG8978541.1_KAG8978542.1	Arwing
crypar1_tyr4503	Arwing
diacit1_KAG6354864.1	Arwing
zymtri3_SMQ45618.1	superfam03-2
zymtri4_SMY26934.1	superfam03-2
hyspul1_112804	superfam03-2
aurpul6_KEQ79301.1	superfam03-2
mictri1_387286	superfam03-2
fustha1_tyr6742	superfam03-2
aurpul2_36615	superfam03-2
consp.1_1239454	superfam03-2
colcam1_KAH0438924.1	superfam03-2
colglo1_5357	superfam03-2
xylsp.8_760567	superfam03-2
colsia5_tyr4375	superfam03-2
fuspen1_tyr6433	superfam03-2
aurpul1_15872	superfam03-2
aursub2_KEQ98213.1	superfam03-2
psefij1_EME77334.1	superfam03-2
botdew1_KAF7921612.1	superfam03-2
exomes1_110667	superfam03-2
fusbux1_tyr5352	superfam03-2
psesp.4_4572	superfam03-2
racsp.1_tyr9894	superfam03-2
altgai1_tyr157	superfam03-2
altsol2_tyr198	superfam03-2
stasp.1_382781	superfam03-2
baupan1_EMC98256.1	superfam03-2
parnod1_QRC96480.1	superfam03-2
ascsar1_3734	superfam03-2
emepas2_OJD15817.1_OJD15818.1	superfam03-2
jimfla1_476449	superfam03-2
psesp.13_KFX99979.1	superfam03-2
jimfla2_143193	superfam03-2
fusfus29_tyr5704	superfam03-3
fusfus30_tyr5713	superfam03-3
fusfus16_tyr5625	superfam03-3
ilydes1_KAH6980527.1	superfam03-3
fusvan1_EEU46504.1	superfam03-3
fusfra1_tyr5556	superfam03-3
fusfus39_tyr5764	superfam03-3
micbol1_176150	superfam03-3
phicur1_TPX13777.1	superfam03-3
pyrter2_CAA9956742.1	superfam03-3
pyrter3_EFQ88401.1	superfam03-3
elsfaw1_KAF4547791.1	superfam03-3
pucgra2_10909	superfam03-3
phisub1_19656	superfam03-3
psesp.16_KFY82747.1	superfam03-3
psesp.14_KFY24325.1	superfam03-3
psesp.10_OBT66236.1	superfam03-3
bacgig1_KAG8533760.1	superfam03-3
cerbet1_PIA90313.1	superfam03-3
elsfaw1_KAF4556931.1	superfam03-3
rutsp.1_tyr10026	superfam03-3
exospi1_6301	superfam03-3
zymtri1_EGP85669.1	superfam03-3
aspasp1_tyr547	superfam03-3
aspcal3_tyr819	superfam03-3
mellar1_EGG09125.1	superfam03-3
Starship-1_Agai-Captain	Voyager
altgai1_tyr155	Voyager
Starship-1_Aten-Captain	Voyager
Starship-1_Aalt-Captain	Voyager
altatr1_tyr121	Voyager
altatr2_tyr125	Voyager
Starship-2_Aten-Captain	Voyager
lizemp1_118025	Voyager
pyrtri10_tyr9789	Voyager
pyrtri6_tyr9856	Voyager
pyrter3_EFQ93944.1	Voyager
pyrtri11_KAG9375895.1	Voyager
lizemp1_103933	Voyager
lizemp1_148783	Voyager
macano1_413805_348491	Voyager
lizemp1_143644	Voyager
pletra1_KAF2849805.1	Voyager
coccar1_9885_111421	Voyager
cocmiy1_41893_111066	Voyager
claely1_463329	Voyager
maspha1_259090_259074	Voyager
altgan2_tyr165	Voyager
permac1_700065	Voyager
corcas2_PSN65677.1	Voyager
delcon1_29688_29730_486811	Voyager
patatr1_KAF2840256.1_KAF2840257.1	Voyager
patatr1_tyr8666	Voyager
hyspul1_120259	Voyager
zoprhi1_KAF2178190.1	Voyager
Voyager_Mpha_mp102-Captain	Voyager
macpha1_756324	Voyager
neopar1_tyr8483	Voyager
neopar1_tyr8484	Voyager
delstr1_204501	Voyager
delstr1_369760	Voyager
delstr1_282815	Voyager
aurpul6_KEQ83187.1_KEQ83188.1	Voyager
maspha1_203713	Voyager
wesorn1_tyr10759	Voyager
aaoarx1_319010	Voyager
didexi1_10501	Voyager
macano1_420158	Voyager
sethol1_15133	Voyager
stasp.1_299864	Voyager
claely1_437966	Voyager
lenflu1_KAF2680563.1	Voyager
polfus1_408015	Voyager
polfus1_594435_594441	Voyager
polfus1_595134	Voyager
cloaqu1_482612	Voyager
parmin1_KAF9733691.1	Voyager
wesorn1_504387	Voyager
lenflu1_KAF2680670.1	Voyager
bimnov1_564002	Voyager
rhyruf1_112818	Voyager
hyspul1_118805	Voyager
mytres1_569544	Voyager
mytres1_483318	Voyager
mytres1_516471_225833	Voyager
rhyruf1_tyr9994	Voyager
gloste1_250357_290901	Voyager
rhyruf1_tyr9997	Voyager
cerbet1_PIA93163.1	Voyager
cerkik1_GIZ46179.1	Voyager
pasful1_KAH3649967.1_KAH3649832.1	Voyager
disaci1_KAF1825875.1	Voyager
cerkik1_GIZ36574.1	Voyager
zascel1_17254	Voyager
cerber1_4073	Voyager
elsaus1_tyr4897	Voyager
elsbat1_KAG8623403.1_KAG8623701.1	Voyager
elsaus2_TKX19097.1	Voyager
elsfaw1_KAF4556065.1	Voyager
elsamp1_256687	Voyager
elsbat1_KAG8628150.1	Voyager
racsp.1_tyr9897	Voyager
coccar1_81378	Family-11
dotsep1_32084	Family-11
diaamp1_tyr4647	Family-11
neucra4_2977	Family-11
fustja1_KAF5616136.1	Family-11
fusxyl1_KAG5773589.1	Family-11
fusnan1_tyr6095	Family-11
diabat1_KAG8161438.1	Family-11
psesp.4_703	Family-11
chlaer1_TAQ85415.1	Family-11
rhyagr1_1870_1869	Family-11
lacari1_TVY14354.1	Family-11
melbic1_394156	Family-11
oidmai1_53117	Family-11
conlig1_643740	Family-11
cytleu1_ROW05950.1	Family-11
leosp.1_718556	Family-11
psesp.14_KFY24906.1	Family-11
diacit1_KAG6354360.1	Family-11
elsamp1_316789	Family-11
glaloz2_EHL01589.1	Family-11
lachya1_TVY26861.1	Family-11
spobra1_10745	Family-11
ascsar1_7037	Family-11
chlaer1_TAQ83553.1	Family-11
cadsp.2_KAG4436364.1	Family-11
leosp.1_775379	Family-11
aursub3_EJD38325.1	Family-11
mycchl1_tyr8389	Family-11
amapse1_tyr227	Family-11
jamsp.1_185530	Family-11
meimil1_154462	Family-11
antflo1_EPQ28709.1	Family-11
pseflo1_6738	Family-11
viopal1_370908	Family-11
